Razão social,CNPJ,Classificação
LOCAWEB SERVICOS DE INTERNET S/,02.351.877/0001-52,Consumidor Especial
CONDOMINIO LOG CONTAGEM III,34.687.828/0001-81,Consumidor Especial
LOG COMMERCIAL PROPERTIES E PARTICIPACOES S.,09.041.168/0001-10,Consumidor Especial
CONDOMINIO LOG GAIOLLI,37.544.377/0001-11,Consumidor Especial
LOG JUIZ DE FORA I SPE LTDA.,15.059.001/0001-89,Consumidor Especial
LOG FRIO LOGISTICA LTDA.,06.975.242/0001-87,Consumidor Especial
LOGHAUS COMERCIO DE ARTIGOS DO VESTUARIO LTD,80.462.138/0001-41,Consumidor Especial
SERVICOS CENTRAL LOGISTICA E ARMAZENS GERAIS LTD,02.267.811/0001-89,Consumidor Especial
LOGMASTER LOGISTICA INTEGRADA LTD,08.301.904/0001-69,Consumidor Especial
LOGOPLASTE DO BRASIL LTDA,00.359.256/0001-90,Consumidor Especial
LOGUM LOGISTICA S A,09.584.935/0001-37,Consumidor Especial
LOJAO DO BRAS LTDA,71.831.721/0001-91,Consumidor Especial
LOJAS AVENIDA S.A,00.819.201/0001-15,Consumidor Especial
LOJAS COLOMBO SA COMERCIO DE UTILIDADES DOMESTICA,89.848.543/0001-77,Consumidor Especial
FUNDO DE INVESTIMENTO IMOBILIARIO ANTILHA,26.452.053/0001-37,Consumidor Especial
M3 ADMINISTRACAO E COBRANCA LTD,34.780.489/0001-83,Consumidor Especial
LOLLY BABY PRODUTOS INFANTIS LTD,62.367.032/0001-87,Consumidor Especial
LOLOPET ALIMENTOS NATURAIS S.A,33.071.157/0001-67,Consumidor Especial
LONAX- INDUSTRIA BRASILEIRA DE LONAS LTD,04.784.711/0001-55,Consumidor Especial
LONDRINA NORTE ADMINISTRADORA DE SHOPPING CENTERS LTDA,15.868.074/0001-11,Consumidor Especial
CONDOMINIO BOULEVARD LONDRINA SHOPPIN,28.240.693/0001-09,Consumidor Especial
COMERCIO| INDUSTRIA E TRANSPORTE LOPAS S/,21.473.590/0001-40,Consumidor Especial
LOPES VIANDELLI PRODUTOS ALIMENTICIOS LTD,26.910.752/0001-83,Consumidor Especial
LORD BRASIL EMBALAGENS PLASTICAS EIREL,31.231.182/0002-16,Consumidor Especial
LORD INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTD,44.156.008/0001-17,Consumidor Especial
PROCOSA PRODUTOS DE BELEZA LTD,33.306.929/0001-00,Consumidor Especial
L'OREAL BRASIL COMERCIAL DE COSMETICOS LTD,30.278.428/0001-61,Consumidor Especial
L'OREAL BRASIL PESQUISA E INOVACAO LTDA,19.634.901/0001-63,Consumidor Especial
LORENZON PLASTICOS LTDA,87.262.754/0001-06,Consumidor Especial
LATICINIOS OSCAR SALGADO LTDA,29.689.346/0001-20,Consumidor Especial
LOS GROBO AGROINDUSTRIAL DO BRASIL S.A,07.924.215/0001-48,Consumidor Especial
LOTUS COMERCIO E INDUSTRIA DE PRODS DE MANDIOCA LTD,49.119.969/0001-75,Consumidor Especial
LOUVRE MAGAZINE COMERCIO LTDA,10.854.623/0001-85,Consumidor Especial
QUALY FOODS LTDA,08.996.020/0001-76,Consumidor Especial
LATICINIOS PORTO ALEGRE INDUSTRIA E COMERCIO S/,66.301.334/0001-03,Consumidor Especial
LR INDUSTRIA DE SOLADOS LTDA,09.049.532/0001-98,Consumidor Especial
LSL TRANSPORTES LTDA.,04.548.589/0001-18,Consumidor Especial
LUBRASIL LUBRIFICANTES LTDA,49.396.591/0001-57,Consumidor Especial
LUBRIFICANTES FENIX LTDA,59.723.874/0001-10,Consumidor Especial
LUBRIZOL DO BRASIL ADITIVOS LTD,42.593.962/0001-41,Consumidor Especial
LUCAZA INDUSTRIA E COMERCIO DE VIDROS EIREL,91.143.784/0001-62,Consumidor Especial
LUCIANE INDUSTRIA MOVELEIRA LTD,73.500.480/0001-23,Consumidor Especial
LUCKSPUMA INDUSTRIA E COMERCIO LIMITAD,57.953.382/0001-95,Consumidor Especial
LUDOVICO J. TOZZO LTDA,83.299.743/0001-31,Consumidor Especial
LUFER INDUSTRIA MECANICA S/A,76.904.192/0001-22,Consumidor Especial
LUIZ FUGA INDUSTRIA DE COURO LTDA,03.324.048/0001-43,Consumidor Especial
LUKALIAM MOVEIS LTDA,00.025.372/0001-72,Consumidor Especial
LUKPLAST INDUSTRIA E COMERCIO LTD,04.710.601/0001-49,Consumidor Especial
LULI INDUSTRIA E COMERCIO DE CONFECCOES EIRELI - EM RECUPERACAO JUDICIA,78.644.424/0001-86,Consumidor Especial
LUMEN QUIMICA LTDA,65.865.057/0001-07,Consumidor Especial
LUMICENTER SISTEMAS ELETRONICOS DE ILUMINACAO LTDA,78.331.899/0001-12,Consumidor Especial
LUNELLI INDUSTRIA DO VESTUARIO LTDA,12.213.317/0001-95,Consumidor Especial
LUPERPLAS INDUSTRIA E COMERCIO DE PLASTICOS LTD,00.029.898/0001-20,Consumidor Especial
LUPUS DESENVOLVIMENTO EM ALIMENTOS LTD,11.120.258/0001-48,Consumidor Especial
LUTEPEL INDUSTRIA E COMERCIO DE PAPEL LTD,51.425.130/0002-98,Consumidor Especial
STAMPA ARTEFATOS DE COURO LTD,73.795.486/0001-75,Consumidor Especial
LUZ ARTEFATOS DE ALUMINIO LTD,64.296.353/0001-63,Consumidor Especial
LUZA INDUSTRIA E COMERCIO DE ALIMENTOS S.,22.135.959/0001-77,Consumidor Especial
LUZEIROS HOTEIS S/A.,07.721.300/0001-09,Consumidor Especial
LUZIANIA RENDERING LTDA,24.000.570/0001-40,Consumidor Especial
M. A. DE LIMA LOIOLA,03.681.843/0001-99,Consumidor Especial
MOINHOS CRUZEIRO DO SUL S,88.301.155/0001-09,Consumidor Especial
M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTO,07.206.816/0028-35,Consumidor Especial
M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTO,07.206.816/0062-37,Consumidor Especial
M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTO,07.206.816/0042-93,Consumidor Especial
"M&amp,G MINERACAO DE CALCARIO LTD",16.925.334/0001-06,Consumidor Especial
"M &amp, M FOODS PANIFICACAO LTD",28.821.521/0001-29,Consumidor Especial
M7 INDUSTRIA E COMERCIO DE COMPENSADOS E LAMINADOS LTD,21.144.090/0001-64,Consumidor Especial
MA AUTOMOTIVE BRASIL LTDA.,03.571.044/0001-60,Consumidor Especial
M.A. BORRACHAS LTDA.,90.429.168/0001-00,Consumidor Especial
CIPA-INDUSTRIAL DE PRODUTOS ALIMENTARES LTD,01.851.716/0001-65,Consumidor Especial
EMPRESA HOTELEIRA MABU LTDA,75.047.498/0001-47,Consumidor Especial
MAC ENGENHARIA EIRELI,80.083.454/0001-02,Consumidor Especial
MACCAFERRI DO BRASIL LTDA,43.876.960/0001-22,Consumidor Especial
MACCRO EMBALLAGE INDUSTRIA E COMERCIO LTD,00.316.355/0001-94,Consumidor Especial
CONDOMINIO MACEIO SHOPPING CENTE,24.245.219/0001-19,Consumidor Especial
"J C MARTINS &amp, CIA LTDA",31.162.421/0001-42,Consumidor Especial
MACPET EMBALAGENS LTDA,11.659.958/0001-05,Consumidor Especial
MACRON INDUSTRIA GRAFICA LIMITADA,61.097.317/0001-82,Consumidor Especial
MACROPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTD,43.191.196/0001-51,Consumidor Especial
MADAL PALFINGER S/A,88.613.856/0001-83,Consumidor Especial
IRMAOS MADALOSSO LTDA,76.687.656/0001-96,Consumidor Especial
MADEIRA PLASTICA AMBIENTAL S.A,17.214.638/0001-28,Consumidor Especial
MADEIRAS BAGATTOLI LTDA,84.151.000/0001-82,Consumidor Especial
MADEIRAS SALAMONI LTDA,83.054.544/0001-63,Consumidor Especial
MADEIREIRA ANA MARIANA - IMPORTACAO E EXPORTACAO LTD,78.909.348/0001-93,Consumidor Especial
MADEIREIRA EK LTDA,75.025.734/0001-24,Consumidor Especial
MADEIREIRA HAAS LTDA,98.597.917/0001-10,Consumidor Especial
MADEIREIRA MARACANA FLORESTAL LTD,07.199.149/0001-90,Consumidor Especial
MADEIREIRA RIO CLARO LTDA,78.897.600/0002-72,Consumidor Especial
MADEIREIRA ROCHEMBACH LTDA,76.915.123/0001-14,Consumidor Especial
MADEIREIRA ROZENE ROSSINI LTD,00.584.302/0001-54,Consumidor Especial
"M.A. DE OLIVEIRA &amp, CIA LTD",05.192.537/0001-14,Consumidor Especial
MADEM SA INDUSTRIA E COMERCIO DE MADEIRAS E EMBALAGEN,87.547.238/0001-10,Consumidor Especial
MADEMARQUES MOVEIS LTDA,25.760.786/0001-76,Consumidor Especial
"NEREU RODRIGUES &amp, CIA LTD",72.207.632/0001-31,Consumidor Especial
MADERO INDUSTRIA E COMERCIO S.A,13.783.221/0004-78,Consumidor Especial
M D MOVEIS LTDA,89.042.642/0001-67,Consumidor Especial
MADESONDA INDUSTRIA E COMERCIO DE MADEIRAS LTD,06.233.727/0001-03,Consumidor Especial
MADEIREIRA MADESSERRA LTDA,28.001.459/0001-29,Consumidor Especial
MADETEC MOVEIS LTDA,02.624.729/0001-64,Consumidor Especial
MADEVAL INDUSTRIA COMERCIO E TRANSPORTE DE MADEIRAS LTD,12.579.164/0001-02,Consumidor Especial
MADEVALI AGRO INDUSTRIAL LTDA,83.218.818/0001-02,Consumidor Especial
CONDOMINIO DO EDIFICIO MADUREIRA SHOPPING RI,00.451.208/0001-27,Consumidor Especial
SUPERMERCADO MAE RAINHA LTDA,05.377.917/0001-23,Consumidor Especial
MAESTRO DO BRASIL INDUSTRIA METALURGICA LTD,83.046.656/0001-72,Consumidor Especial
MAFRIAL MATADOURO E FRIGORIFICO LTD,07.464.123/0001-22,Consumidor Especial
FRIGORIFICO CARIACICA S.A.,09.250.869/0001-69,Consumidor Especial
ATIVO ALIMENTOS EXPORTADORA E IMPORTADORA EIREL,06.128.996/0001-00,Consumidor Especial
MAGBAN MARMORES E GRANITOS AQUIDABAN LTD,31.292.568/0001-57,Consumidor Especial
MAG SAC EMBALAGENS LTDA,26.011.559/0001-00,Consumidor Especial
CONDOMINIO EMPRESARIAL SHOPPING,05.629.163/0001-51,Consumidor Especial
MAGAZINE LUIZA S/A,47.960.950/0001-21,Consumidor Especial
MAGAZINE LUIZA S/A,47.960.950/0449-27,Consumidor Especial
MAGE MINERACAO LTDA,16.904.055/0002-47,Consumidor Especial
MAGGION INDUSTRIAS DE PNEUS E MAQUINAS LTD,61.077.079/0001-43,Consumidor Especial
CK2 GESTAO EM EMPREENDIMENTOS DE LAZER E TURISMO LTD,07.739.644/0001-45,Consumidor Especial
MAGIUS METALURGICA INDUSTRIAL LTD,81.312.894/0001-57,Consumidor Especial
MAGNA DO BRASIL PRODUTOS E SERVICOS AUTOMOTIVOS LTD,00.970.934/0001-56,Consumidor Especial
MAGNAGHI AERONAUTICA DO BRASIL INDUSTRIA E COMERCIO LTD,57.069.650/0001-00,Consumidor Especial
MAGNO PECAS INDUSTRIA COMERCIO| IMPORTACAO E EXPORTACAO LTD,68.265.834/0001-62,Consumidor Especial
MAHLE METAL LEVE S.A.,60.476.884/0033-64,Consumidor Especial
MAHLE BEHR GERENCIAMENTO TERMICO BRASIL LTD,56.167.091/0001-09,Consumidor Especial
MAHLE COMPRESSORES DO BRASIL LTDA,20.985.558/0001-80,Consumidor Especial
MAHLE METAL LEVE S.A.,60.476.884/0037-98,Consumidor Especial
REDE SUPERMERCADO MAIS BARATO LTD,13.269.933/0001-20,Consumidor Especial
MAIS FRANGO MIRAGUAI LTDA,08.904.113/0001-23,Consumidor Especial
DOHLER ANTONIO PRADO LTDA,93.651.958/0001-23,Consumidor Especial
MAIS SABOR INDUSTRIA E COMERCIO DE REFRIGERANTES EIREL,07.196.579/0001-59,Consumidor Especial
EQUIPAMENTOS PARA PINTURA MAJAM LTD,60.576.790/0001-80,Consumidor Especial
COOP REGIONAL SANANDUVA DE CARNES E DERIVADOS LTD,95.323.275/0001-72,Consumidor Especial
MAJICPLAST EMBALAGENS LTDA,53.031.654/0001-49,Consumidor Especial
MAKITA DO BRASIL FERRAMENTAS ELETRICAS LTD,45.865.920/0006-15,Consumidor Especial
MAKRO ATACADISTA S.A,47.427.653/0001-15,Consumidor Especial
HM HOTEIS E TURISMO S A,47.396.635/0001-13,Consumidor Especial
MALCON METALURGICA LTDA,07.223.780/0001-88,Consumidor Especial
MALHARIA INDAIAL LTDA,86.799.814/0001-53,Consumidor Especial
MALHARIA PRINCESA SA,84.685.056/0001-17,Consumidor Especial
MALHARIA RIKAM LTDA,21.554.431/0001-70,Consumidor Especial
MALHAS JN LTDA,12.768.720/0001-80,Consumidor Especial
INDUSTRIA E COMERCIO DE MALHAS MH LTDA,81.321.549/0001-80,Consumidor Especial
MALIBER INDUSTRIA E COMERCIO TEXTIL LTD,47.938.840/0001-63,Consumidor Especial
GOSTINI ALIMENTOS LTDA,02.753.746/0001-00,Consumidor Especial
CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTD,00.153.282/0001-67,Consumidor Especial
CALCADOS MALU LTDA - EM RECUPERACAO JUDICIA,87.018.768/0001-70,Consumidor Especial
MAMERI ROCHAS LTDA,01.923.470/0001-90,Consumidor Especial
MANCHESTER DISTRIBUIDORA DE FERRO E ACO LTD,36.072.635/0001-41,Consumidor Especial
LACTICINIO BOAVISTENSE LTDA,06.096.958/0001-04,Consumidor Especial
MANDO CORPORATION DO BRASIL INDUSTRIA E COMERCIO DE AUTO PECAS LTDA,12.319.411/0001-23,Consumidor Especial
INDUSTRIAS MANGOTEX LTDA,00.841.654/0001-48,Consumidor Especial
PLAZA BRASILIA HOTEIS E TURISMO LTDA,37.069.853/0001-90,Consumidor Especial
MANIBOM ALIMENTOS LTDA.,01.949.444/0001-30,Consumidor Especial
MANN+HUMMEL BRASIL LTDA.,57.014.862/0001-90,Consumidor Especial
MANOEL MARCHETTI S.A.,84.148.436/0001-12,Consumidor Especial
MANTOVA INDUSTRIA DE TUBOS PLASTICOS LTDA,73.694.119/0001-85,Consumidor Especial
MANUPACKAGING FITASA DO BRASIL S/,04.807.000/0001-59,Consumidor Especial
MANULI DA AMAZONIA INDUSTRIA DE EMBALAGENS LTD,14.269.557/0001-37,Consumidor Especial
METALURGICA MANZATO LTDA,88.664.511/0001-59,Consumidor Especial
M. ABUHAB PARTICIPACOES S/A,03.204.024/0001-50,Consumidor Especial
MAPA DA AMAZONIA INDUSTRIA E COMERCIO DE SANEANTES LTDA,01.548.960/0001-53,Consumidor Especial
MAQUINAS OMIL LTDA,84.148.485/0001-55,Consumidor Especial
MAR PALACE COPACABANA HOTEL LTD,05.640.201/0001-77,Consumidor Especial
MAR GIRIUS CONTINENTAL INDUSTRIA DE CONT ELETRICOS LTD,61.093.001/0001-12,Consumidor Especial
INDUSTRIA E COMERCIO MARAGOGI EIREL,06.039.172/0001-55,Consumidor Especial
MARAJOARA INDUSTRIA DE LATICINIOS LTD,24.849.580/0001-54,Consumidor Especial
MARAL INDUSTRIA E COMERCIO DE BRINQUEDOS LTD,10.469.551/0001-52,Consumidor Especial
MARANATA SALINEIRA DO BRASIL LTD,07.851.963/0001-48,Consumidor Especial
MARANGONI TREAD LATINO AMERICA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHA LTDA - EM RECUPERACAO JUDICIA,02.551.474/0001-57,Consumidor Especial
CONDOMINIO DE LOJAS DO MARANGUAPE SHOPPING MAL,23.746.458/0001-90,Consumidor Especial
MARANHAO INDUSTRIA DE COUROS LTD,10.481.071/0001-07,Consumidor Especial
TABACOS MARASCA LTDA,01.497.282/0001-47,Consumidor Especial
MARBEL - INDUSTRIA E COMERCIO DE ARTEFATOS DE PLASTICO LTDA,06.323.871/0001-22,Consumidor Especial
MARBEX INDUSTRIA E COMERCIO DE EMBALAGENS LTD,31.479.693/0001-70,Consumidor Especial
MARBON IND MET LTDA,60.671.831/0001-17,Consumidor Especial
MARBRASA MARMORES E GRANITOS DO BRASIL S.,27.189.489/0001-48,Consumidor Especial
MARBRASA NORTE MINERADORA LTD,06.867.144/0001-26,Consumidor Especial
MARC MINERACAO INDUSTRIA E COMERCIO EIREL,77.022.754/0001-77,Consumidor Especial
MARCA AMBIENTAL LTDA,07.333.485/0001-84,Consumidor Especial
MARCHESAN IMPLEMENTOS E MAQUINAS AGRICOLAS TATU S,52.311.289/0001-63,Consumidor Especial
MARCHITEX MALHARIA E CONFECCOES LTD,83.441.733/0001-99,Consumidor Especial
MARCO POLO TEXTIL INDUSTRIA E COMERCIO LTD,52.326.527/0001-04,Consumidor Especial
MARCON INDUSTRIA METALURGICA LTD,57.211.997/0001-46,Consumidor Especial
MARDAM INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTD,03.713.939/0001-91,Consumidor Especial
MARE MANSA PESCADOS LTDA,04.833.821/0001-60,Consumidor Especial
MAREL INDUSTRIA DE MOVEIS S.A,77.808.640/0002-38,Consumidor Especial
MARELLI MOVEIS PARA ESCRITORIO S/,88.766.936/0001-79,Consumidor Especial
MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40,Consumidor Especial
MARGRAMAR GRANITOS LTDA,31.289.499/0001-22,Consumidor Especial
MINERACAO MARIANELLI LTDA,05.989.044/0001-00,Consumidor Especial
MARILAN ALIMENTOS S/A,52.034.139/0001-50,Consumidor Especial
INDUSTRIA MARILIA DE AUTO PECAS S/,49.035.678/0001-07,Consumidor Especial
MARINGA SOLDAS S/A,79.142.139/0001-20,Consumidor Especial
MARINI INDUSTRIA DE COMPENSADOS LTD,05.552.102/0001-33,Consumidor Especial
ASSOCIACAO MARIO PENNA,17.513.235/0001-80,Consumidor Especial
MARIOL EMBALAGENS LTDA,09.507.378/0001-50,Consumidor Especial
MARIOL INDUSTRIAL LTDA,04.656.253/0001-79,Consumidor Especial
MARISA LOJAS S.A.,61.189.288/0001-89,Consumidor Especial
MARISOL VESTUARIO SA,02.045.487/0001-54,Consumidor Especial
MARISTELA TELHAS LTDA,04.035.155/0001-14,Consumidor Especial
MARIZA INDUSTRIA E COMERCIO DE ALIMENTOS LTD,01.773.117/0001-70,Consumidor Especial
MARIZA AGUAS MINERAIS LTDA,07.191.574/0001-33,Consumidor Especial
MARLES INDUSTRIA TEXTIL ECOMERCIO LIMITAD,43.156.819/0001-55,Consumidor Especial
MARLUVAS EQUIPAMENTOS DE SEGURANCA LTD,19.653.054/0001-84,Consumidor Especial
MARMIL MARMORE MIMOSO COMERCIO EXPORTACAO E IMPORTACAO EIREL,32.473.118/0001-23,Consumidor Especial
MAROMA ALIMENTOS LTDA,79.685.467/0001-72,Consumidor Especial
MAROMBI ALIMENTOS LTDA,03.950.587/0001-98,Consumidor Especial
MERCEARIA MARONESI LTDA,76.387.901/0001-40,Consumidor Especial
MARQUESPAN TECNOLOGIA EM PAES CONGELADOS LTD,26.995.304/0001-20,Consumidor Especial
HHR JW RIO DE JANEIRO INVESTIMENTOS HOTELEIROS LTD,12.575.480/0001-06,Consumidor Especial
RIO HOTEL BRASIL EMPREENDIMENTOS IMOBILIARIOS LTDA,20.864.251/0001-21,Consumidor Especial
INDUSTRIAS MARRUCCI LTDA,54.368.212/0001-55,Consumidor Especial
MASTERFOODS BRASIL ALIMENTOS LTDA,29.737.368/0001-19,Consumidor Especial
MARSUL INDUSTRIA E COMERCIO DE PROTEINAS EIREL,91.271.718/0001-78,Consumidor Especial
MARTEXTIL INDUSTRIA E COMERCIO TEXTIL LTD,08.175.053/0001-55,Consumidor Especial
"MARTIN SPROCKET &amp, GEAR BRASIL ENGRENAGENS LTD",11.755.916/0001-78,Consumidor Especial
RFG COMERCIO| TRANSPORTES E SERVICOS LTDA,49.319.411/0001-33,Consumidor Especial
METALURGICA MARTINAZZO LTDA,91.505.230/0001-68,Consumidor Especial
MARTINI MEAT S/A ARMAZENS GERAI,75.294.801/0001-06,Consumidor Especial
MARTINREA HONSEL BRASIL FUNDICAO E COMERCIO DE PECAS EM ALUMINIO LTDA,56.990.526/0001-10,Consumidor Especial
MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S/,43.214.055/0001-07,Consumidor Especial
"MARTINS &amp, LOCOCO LAVANDERIA LTD",59.951.822/0001-09,Consumidor Especial
MARTIPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTD,73.445.454/0001-40,Consumidor Especial
MART MINAS DISTRIBUICAO LTDA,04.737.552/0008-04,Consumidor Especial
CONDOMINIO DO MARULHOS MURO ALTO RESOR,07.524.106/0001-33,Consumidor Especial
INDUSTRIAL E COMERCIAL MARVI LTD,53.408.654/0001-15,Consumidor Especial
MARVITE MARANHAO VIDROS TEMPERADOS EIREL,23.611.767/0001-52,Consumidor Especial
MARY ART SAO PAULO INDUSTRIA E COMERCIO LTD,75.643.072/0001-56,Consumidor Especial
MARZARI ALIMENTOS LTDA,95.600.235/0001-20,Consumidor Especial
MASA DOZE EMPREENDIMENTOS IMOBILIARIOS LTD,09.247.385/0001-60,Consumidor Especial
MASALA SOLUCOES TEXTEIS LTDA,26.318.088/0001-88,Consumidor Especial
MASCARELLO - CARROCERIAS E ONIBUS LTD,05.440.065/0001-71,Consumidor Especial
MASH INDUSTRIA E COMERCIO LTD,03.125.730/0001-07,Consumidor Especial
MUSEU DE ARTE DE SAO PAULO ASSIS CHATEAUBRIAND - MAS,60.664.745/0001-87,Consumidor Especial
MASSARI MINERACAO PARTICIPACOES LTDA,12.776.168/0002-53,Consumidor Especial
INDUSTRIA DE MASSAS ALIMENTICIAS ROSANE EIREL,83.633.552/0001-64,Consumidor Especial
MASTER AGROINDUSTRIAL LTDA,02.011.086/0001-83,Consumidor Especial
MASTER ALIMENTOS LTDA,00.813.190/0001-66,Consumidor Especial
MASTER ATS SUPERMERCADOS LTDA,01.874.166/0001-08,Consumidor Especial
MASTER AGROINDUSTRIAL LTDA,02.011.086/0018-21,Consumidor Especial
NELSON METALURGIA LTDA,14.598.570/0001-30,Consumidor Especial
MASTERBOI LTDA.,03.721.769/0001-97,Consumidor Especial
MASTER LINE DO BRASIL LTDA,01.856.022/0001-10,Consumidor Especial
HERSIL ADMINISTRACAO E EMPREENDIMENTOS PREDIAIS LTD,12.985.985/0001-30,Consumidor Especial
MASTICMOL INDUSTRIA E COMERCIO LTDA,74.454.950/0001-22,Consumidor Especial
MATADOURO RIO DOCE LTDA,19.862.044/0001-59,Consumidor Especial
MATAVELLI GRANITOS LTDA,08.839.634/0001-44,Consumidor Especial
MATEC - PARTICIPACOES LTDA.,06.111.266/0001-98,Consumidor Especial
MATE COURO S A,17.177.296/0001-13,Consumidor Especial
HOSPITAL MATER DEI SA,16.676.520/0001-59,Consumidor Especial
MATIC INDUSTRIA DE MOVEIS LTDA,07.203.655/0001-06,Consumidor Especial
LATICINIOS MATINAL LTDA,47.081.427/0001-25,Consumidor Especial
MATISA BRASIL INDUSTRIA E COMERCIO DE MADEIRAS LTD,07.386.344/0001-20,Consumidor Especial
MATRIPOLO MOLDES E INJETADOS LTD,91.242.701/0001-92,Consumidor Especial
MATS BENEFICIAMENTO DE COURO LTD,92.632.512/0001-99,Consumidor Especial
COM IND MATSUDA IMP EXPORTADORA LTD,43.206.069/0001-89,Consumidor Especial
MATSUDA MINAS COMERCIO E INDUSTRIA LTD,38.608.360/0003-05,Consumidor Especial
MATSUDA RACOES LTDA,24.041.494/0001-10,Consumidor Especial
MATTHEIS BORG ADMINISTRACAO PARTICIP COM E IND LTD,30.240.931/0001-28,Consumidor Especial
MAUA POLIMEROS RECUPERACAO E COMERCIO PLASTICOS LTD,30.317.711/0001-55,Consumidor Especial
MAUAD ALIMENTOS LTDA,01.621.399/0001-90,Consumidor Especial
MAURICEA ALIMENTOS DO NORDESTE LTD,12.819.074/0001-33,Consumidor Especial
MAUSER DO BRASIL EMBALAGENS INDUSTRIAIS S.A,08.246.617/0001-01,Consumidor Especial
INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTD,62.379.037/0001-20,Consumidor Especial
MAX ADMINISTRADORA DE IMOVEIS LTDA,08.916.649/0001-69,Consumidor Especial
MAX GEAR INDUSTRIA E COMERCIO DE AUTO PECAS LTDA,02.821.683/0001-73,Consumidor Especial
MAX METALURGICA LTDA,91.913.681/0001-34,Consumidor Especial
MAXBELT INDUSTRIA E COMERCIO LTDA,04.884.878/0001-98,Consumidor Especial
MAXCOR INDUSTRIA DE ETIQUETAS LTD,26.389.171/0001-48,Consumidor Especial
MAXI GRAFICA E EDITORA LTDA,82.523.317/0001-77,Consumidor Especial
CONDOMINIO MAXI SHOPPING JUNDIAI,58.387.614/0001-58,Consumidor Especial
MAXIBARRAS INDUSTRIA E COMERCIO DE METAIS EIREL,11.128.893/0001-71,Consumidor Especial
MAXIBOM ALIMENTOS LTDA,04.590.925/0001-90,Consumidor Especial
IOCHPE-MAXION S.A.,61.156.113/0006-80,Consumidor Especial
IOCHPE-MAXION S.A.,61.156.113/0005-07,Consumidor Especial
MAXION WHEELS DO BRASIL LTDA.,02.234.234/0001-29,Consumidor Especial
INDUSTRIA E COMERCIO DE EMBALAGENS MAXIPLAST LTD,01.731.676/0001-18,Consumidor Especial
MAXITRATE TRATAMENTO TERMICO E CONTROLES LTD,67.848.002/0001-06,Consumidor Especial
MAXLAV LAVANDERIA ESPECIALIZADA S.A,15.046.859/0001-09,Consumidor Especial
MAYA INDUSTRIA E COMERCIO DE HASTES LTD,05.984.336/0001-50,Consumidor Especial
MAYZEER MALHARIA LTDA,02.209.188/0001-08,Consumidor Especial
MAZDA EMBALAGENS LTDA EM RECUPERACAO JUDICIA,53.635.272/0001-24,Consumidor Especial
MAZETTO INDUSTRIA E COMERCIO DE ALUMINIOS LTD,44.219.772/0001-94,Consumidor Especial
MAZZA INDUSTRIA DE PLASTICOS LTD,88.588.033/0001-45,Consumidor Especial
MZF4 FIOS TECNICOS E UTILIDADES LTDA,53.865.531/0002-94,Consumidor Especial
MAZZAFERRO IND. E COM. DE PRODUTOS PARA PESCA S/,61.274.247/0001-90,Consumidor Especial
M B IMPORTACAO| INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTD,07.086.371/0001-87,Consumidor Especial
MBB ENERGIA RENOVAVEL LTDA,06.967.872/0001-00,Consumidor Especial
M CASSAB COMERCIO E INDUSTRIA LTD,49.698.723/0001-03,Consumidor Especial
MINERACAO CORUMBAENSE REUNIDA S.A,03.327.988/0001-96,Consumidor Especial
MARTINS CRUZ SOLUCOES AGRICOLAS LTD,50.378.389/0001-81,Consumidor Especial
MD PAPEIS LTDA.,72.907.595/0008-40,Consumidor Especial
MDG INDUSTRIA E COMERCIO DE PLASTICOS LTD,35.474.405/0001-46,Consumidor Especial
INDUSTRIA E COMERCIO DE BEBIDAS MDM LTD,03.559.491/0001-01,Consumidor Especial
M. E. GONCALVES INDUSTRIA DE MOVEIS LTDA,75.394.502/0001-43,Consumidor Especial
MEBER METAIS S/A,87.547.907/0001-53,Consumidor Especial
MEBUKI INDUSTRIA COMERCIO E EXPORTACAO LTD,46.884.672/0001-08,Consumidor Especial
MAJE DO NORDESTE INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS LTD,04.900.482/0001-97,Consumidor Especial
MINERACAO ESTRELA DALVA LTDA,18.603.453/0001-78,Consumidor Especial
MEDAL FUNDICAO LTDA,14.921.288/0001-41,Consumidor Especial
MEDICAL MEDICINA ASSISTENCIAL S/A,01.370.425/0001-55,Consumidor Especial
SANOFI MEDLEY FARMACEUTICA LTD,10.588.595/0007-97,Consumidor Especial
MSC MEDITERRANEAN LOGISTICA LTDA,08.680.888/0001-62,Consumidor Especial
MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA,17.875.154/0001-20,Consumidor Especial
