RAZAO,CNPJ,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
HOTELARIA ACCORINVEST BRASIL S.A, 02.419.765/0001-96,,18/03/1998,5510801,Hotéis,2054,Sociedade Anônima Fechada ,AVENIDA,DOUTORA,RUTH CARDOSO,7815,AND 9 10 11 TORRE 2 PARTE,AV DAS NACOES UNIDAS 7815 AND 9 10 11 TORRE 2 PARTE,PINHEIROS,SAO PAULO,SP,5425070,11,21070809,11,21070815,ATIVA,1,MÉDIA,340000000,5,140
TODESMADE INDUSTRIA DE MADEIRAS E ARTEFATOS LTDA, 20.676.022/0001-83,,21/07/2014,1610203,Serrarias com desdobramento de madeira em bruto,2062,Sociedade Empresária Limitada ,ALAMEDA,,TODESCHINI,370,,ALAMEDA TODESCHINI 370,VERONA,BENTO GONCALVES,RS,95700834,54,21028100,,,ATIVA,1,PEQUENA,8900000,7,
RAFITEC S/A INDUSTRIA E COMERCIO DE SACARIAS, 00.763.251/0001-28,RAFITEC SA,15/08/1995,1313800,Fiação de fibras artificiais e sintéticas,2054,Sociedade Anônima Fechada ,RUA,,JOAO DEDONATTI,27,,R JOAO DEDONATTI 27,INDUSTRIAL LUNARDI,XAXIM,SC,89825000,49,999360520,49,33538383,ATIVA,1,GRANDE,236000000,5,1996
INFIBRA S/A, 04.277.941/0001-28,INFIBRA COMERCIAL,06/02/2001,2330303,Fabricação de artefatos de fibrocimento para uso na construção,2054,Sociedade Anônima Fechada ,RUA,,RAFAEL DE BARROS,606,KM 186 S N,R RAFAEL DE BARROS 606 KM 186 S N,CENTRO,LEME,SP,13610970,19,35736400,19,992335786,ATIVA,1,GRANDE,120000000,13,395
MINERACAO AURIZONA S/A, 42.422.048/0002-19,,28/03/1985,724301,Extração de minério de metais preciosos,2054,Sociedade Anônima Fechada ,RUA,,BENEDITA JORGE,307,,R BENEDITA JORGE 307,CENTRO,GODOFREDO VIANA,MA,65285000,98,33959026,98,33959038,ATIVA,0,GRANDE,236000000,5,834
TROPICAL SUPERMERCADOS LTDA, 23.014.826/0001-05,TROPICAL SUPERMERCADOS,06/08/2015,4691500,Comércio atacadista de mercadorias em geral| com predominância de produtos alimentícios,2062,Sociedade Empresária Limitada ,AVENIDA,,JOSEFA MACHADO DE REZENDE,2249,,AV JOSEFA MACHADO DE REZENDE 2249,PARQUE SAGRADA FAMILIA,RONDONOPOLIS,MT,78735000,66,30220990,66,34231786,ATIVA,1,PEQUENA,12125000,2,47
BAKER HUGHES DO BRASIL LTDA, 42.087.254/0001-39,BAKER HUGHES,09/12/1992,910600,Atividades de apoio à extração de petróleo e gás natural,2062,Sociedade Empresária Limitada ,AVENIDA,,REPUBLICA DO CHILE,330,BLC 2 SAL 2801,AVENIDA REPUBLICA DO CHILE 00330       BLC 2 SAL 2801,CENTRO,RIO DE JANEIRO,RJ,20031170,21,999088773,21,997904457,ATIVA,1,GRANDE,750000000,8,210
EDITORA FTD S A, 61.186.490/0016-33,,19/11/1973,1811302,Impressão de livros| revistas e outras publicações periódicas,2054,Sociedade Anônima Fechada ,AVENIDA,,ANTONIO BARDELLA,396,,AV ANTONIO BARDELLA 396,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,GUARULHOS,SP,7220020,11,35458758,11,35458616,ATIVA,0,GRANDE,750000000,19,850
NOVA NORDEPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA, 26.608.960/0001-22,,25/11/2016,2221800,Fabricação de laminados planos e tubulares de material plástico,2062,Sociedade Empresária Limitada ,RUA,,HOWARD ARCHIBALDI ACHESON JUNIOR,55,,R HOWARD ARCHIBALDI ACHESON JUNIOR,JARDIM DA GLORIA,COTIA,SP,6711280,11,972140915,11,995008657,ATIVA,1,MÉDIA,12125000,4,160
IRMANDADE DA SANTA CASA DE MISERICORDIA DE CURITIBA, 76.613.835/0001-89,,20/12/1967,8610101,Atividades de atendimento hospitalar| exceto pronto-socorro e unidades para atendimento a urgências,3999,Associação Privada,AVENIDA,MARECHAL,FLORIANO PEIXOTO,2509,,AV MAL FLORIANO PEIXOTO 2509,REBOUCAS,CURITIBA,PR,80220000,41,33203641,41,33203500,ATIVA,1,GRANDE,172000000,3,3548
PIGMA GRAFICA E EDITORA LTDA, 62.829.510/0001-23,PIGMA,27/04/1990,5829800,Edição integrada à impressão de cadastros| listas e outros produtos gráficos,2062,Sociedade Empresária Limitada ,AVENIDA,,HENRY FORD,2320,,AVENIDA HENRY FORD 2320,PARQUE DA MOOCA,SAO PAULO,SP,3109001,11,930640125,11,956067431,ATIVA,1,MÉDIA,72000000,2,96
EXTRATIVA MINERAL S/A, 17.174.889/0003-98,,14/10/2003,710301,Extração de minério de ferro,2054,Sociedade Anônima Fechada ,MORRO,,DO GAMA,,MRO DO GAMA,MRO DO GAMA SN MRO DO GAMA,ZONA RURAL,NOVA LIMA,MG,34000000,31,997909888,31,971138848,ATIVA,0,MÉDIA,90000000,9,58
EMPRESA DE MINERACAO ESPERANCA S A, 33.300.971/0001-06,FERROUS EMESA,07/05/1970,710301,Extração de minério de ferro,2054,Sociedade Anônima Fechada ,ETA,,CARLOS NEWLANDS,,22,ETA CARLOS NEWLANDS SN 22,CX,BRUMADINHO,MG,35460000,31,35158900,31,35158941,ATIVA,1,GRANDE,120000000,7,362
NIPPON SEIKI DO BRASIL LTDA, 05.213.262/0001-58,,09/08/2002,2945000,Fabricação de material elétrico e eletrônico para veículos automotores| exceto baterias,2062,Sociedade Empresária Limitada ,RUA,,PALMEIRA DO MIRITI,121,,R PALMEIRA DO MIRITI 121,GILBERTO MESTRINHO,MANAUS,AM,69006373,92,21218971,92,21218900,ATIVA,1,MÉDIA,90000000,2,742
RECREIO DA JUVENTUDE, 88.649.660/0001-49,,31/12/1965,9312300,Clubes sociais| esportivos e similares,3999,Associação Privada,RUA,,ATILIO ANDREAZZA,3525,ANEXO ADMINISTRACAO,R ATILIO ANDREAZZA 3525 ANEXO ADMINISTRACAO,SAGRADA FAMILIA,CAXIAS DO SUL,RS,95052070,54,30223522,54,32212155,ATIVA,1,MÉDIA,22400000,1,464
GOLDENPLAST INDUSTRIA E COMERCIO DE PLASTICOS E SUCATAS LTDA, 64.151.160/0001-14,GOLDENPLAST INDUSTRIA E COMERCIO DE PLASTICOS,31/08/1990,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,ESTRADA,,FRANCISCO PEREIRA DUTRA,199,,EST FRANCISCO PEREIRA DUTRA 199,ESTIVA,LOUVEIRA,SP,13290000,11,996156589,19,38783135,ATIVA,1,MÉDIA,3400000,4,58
FUNDIMAZZA INDUSTRIA E COMERCIO DE MICROFUNDIDOS LTDA, 03.566.509/0001-94,FUNDIMAZZA,22/12/1999,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,AVENIDA,,FAZENDA IBICABA,280,,AV FAZENDA IBICABA 280,DISTR INDL II,CORDEIROPOLIS,SP,13490000,19,992945827,19,987227834,ATIVA,1,MÉDIA,12125000,2,232
PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA., 02.957.518/0001-43,,02/02/1999,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,PRESIDENTE,JUSCELINO KUBITSCHEK,180,ANDAR 10 PARTE,AV PRESIDENTE JUSCELINO KUBITSCHEK 180 ANDAR 10 PARTE,VILA NOVA CONCEICAO,SAO PAULO,SP,4543000,11,51884706,11,39054976,ATIVA,1,MICRO,12125000,7,
FRIGODELISS LTDA., 11.257.856/0001-63,FRINNI,30/09/2009,1012103,Frigorífico - abate de suínos,2062,Sociedade Empresária Limitada ,ESTRADA,,CAPIVARI PORTO FELIZ,21500,,EST CAPIVARI PORTO FELIZ 21500,RURAL,CAPIVARI,SP,13360000,19,996757721,19,998025196,ATIVA,1,GRANDE,120000000,4,577
DIKLATEX INDUSTRIAL TEXTIL S/A, 72.020.118/0001-92,,09/09/1993,1330800,Fabricação de tecidos de malha,2054,Sociedade Anônima Fechada ,RUA,,DOROTHOVIO DO NASCIMENTO,2500,,R DOROTHOVIO DO NASCIMENTO 2500,JARDIM SOFIA,JOINVILLE,SC,89223600,47,34519511,47,34519517,ATIVA,1,GRANDE,72000000,4,486
KIM NETO INDUSTRIA E COMERCIO DE PANIFICACAO LTDA, 02.867.469/0001-58,,13/11/1998,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,AVENIDA,VEREADOR,JOSE FERNANDES FILHO,7,A,AV VER JOSE FERNANDES FILHO 7 A,JARDIM HELENA,CARAPICUIBA,SP,6342180,11,999406969,11,992313726,ATIVA,1,GRANDE,172000000,4,791
ENGRATECH TECNOLOGIA EM EMBALAGENS PLASTICAS S/A, 05.825.478/0006-89,,19/01/2006,2222600,Fabricação de embalagens de material plástico,2054,Sociedade Anônima Fechada ,RUA,,JOSE SANCHES MARIN,680,A,R JOSE SANCHES MARIN 680 A,VILA COLORADO,SUZANO,SP,8616770,19,38674410,11,47471311,ATIVA,0,MÉDIA,12125000,5,69
SOCIEDADE RADIO EMISSORA PARANAENSE SA, 76.494.806/0001-45,TV PARANAENSE| REDE PARANAENSE,10/08/1966,6021700,Atividades de televisão aberta,2054,Sociedade Anônima Fechada ,RUA,,MAMORE,753,,R MAMORE 733,MERCES,CURITIBA,PR,80810080,41,33215421,41,33407508,ATIVA,1,GRANDE,236000000,4,904
VALE FERTIL INDUSTRIAS ALIMENTICIAS LTDA, 84.869.593/0001-17,,07/10/1991,1032599,Fabricação de conservas de legumes e outros vegetais| exceto palmito,2062,Sociedade Empresária Limitada ,RUA,,JOAO ANDRIGUETTO,271,CAMPINA SJP PR D,R JOAO ANDRIGUETTO 271 CAMPINA SJP PR D,ITALIA,SAO JOSE DOS PINHAIS,PR,83020540,31,997733253,21,999915272,ATIVA,1,GRANDE,120000000,4,616
INSTITUTO DE CANCER DE LONDRINA, 78.633.088/0001-76,HOSPITAL DO CANCER DE LONDRINA,14/10/1969,8610101,Atividades de atendimento hospitalar| exceto pronto-socorro e unidades para atendimento a urgências,3999,Associação Privada,RUA,GENERAL,HORTA BARBOSA,80,,R GEN HORTA BARBOSA 80,PETROPOLIS,LONDRINA,PR,86015510,43,999983300,43,33416307,ATIVA,1,GRANDE,41500000,1,1830
INDUSTRIA E COMERCIO DE LOUCAS SANITARIAS SANTA CLARA LTDA., 04.620.196/0001-78,SANTA CLARA - LOUCAS SANITARIAS,14/08/2001,2349401,Fabricação de material sanitário de cerâmica,2062,Sociedade Empresária Limitada ,RUA,,MARIANO DE AVILA,715,,R ARAXA 715,CENTRO,ARAXA,MG,38183970,34,993160065,34,36623102,ATIVA,1,MÉDIA,22400000,2,556
CONDOMINIO ORDINARIO DO AUTO SHOPPING SAO PAULO LESTE, 02.465.869/0001-37,AUTO SHOPPING,11/03/1998,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,ARICANDUVA,5555,,ARICANDUVA,VILA ARICANDUVA,SAO PAULO,SP,3527000,11,978463359,11,34442026,ATIVA,1,PEQUENA,1350000,,18
VIDROMETRO INDUSTRIA E COMERCIO DE VIDROS LTDA, 02.578.558/0001-84,,22/04/1998,2311700,Fabricação de vidro plano e de segurança,2062,Sociedade Empresária Limitada ,RODOVIA,,ANEL RODOVIARIO CELSO MELLO AZEVEDO,9852,,ROD ANEL RODOVIARIO CELSO MELLO AZEVEDO 9852,JOAO PINHEIRO,BELO HORIZONTE,MG,30530022,31,33920129,31,34391681,ATIVA,1,MÉDIA,2600000,2,196
C P N MINERACAO LTDA, 05.396.051/0001-06,,20/11/2002,1121600,Fabricação de águas envasadas,2062,Sociedade Empresária Limitada ,RUA,PADRE,ROLIM,133,,R PE ROLIM 133,SANTA EFIGENIA,BELO HORIZONTE,MG,30130090,35,37297901,,,ATIVA,1,MÉDIA,5750000,4,130
ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA., 33.876.145/0001-00,ALLIANCE ONE,28/10/1971,4636201,Comércio atacadista de fumo beneficiado,2062,Sociedade Empresária Limitada ,RUA,,CORONEL AGRA,1767,,CORONEL AGRA,CENTRO,VENANCIO AIRES,RS,95800000,51,998567784,51,981798205,ATIVA,1,GRANDE,90000000,8,360
SINCOPLASTIC INDUSTRIA E COMERCIO DE PLASTICOS LTDA, 00.632.761/0001-66,,30/05/1995,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,DA MOENDA,221,VL CLELIA 221,R DA MOENDA 221 VL CLELIA 221,JARDIM DOM JOSE,SAO PAULO,SP,5886140,11,947213793,11,25751800,ATIVA,1,GRANDE,30000000,3,98
PIETROBON & CIA. LTDA., 97.580.260/0001-15,,24/04/1968,1093702,Fabricação de frutas cristalizadas| balas e semelhantes,2062,Sociedade Empresária Limitada ,RUA,,OSVALDO CRUZ,126,B SAO PAULO,R OSVALDO CRUZ 126 B SAO PAULO,,TAPEJARA,RS,99950000,54,996029642,54,999308472,ATIVA,1,GRANDE,56700000,3,1576
PAMPLONA ALIMENTOS S/A, 85.782.878/0024-75,,22/05/1989,1012103,Frigorífico - abate de suínos,2054,Sociedade Anônima Fechada ,RUA,,CURT HERING,1796,,R CURT HERING 1796,CENTRO,PRESIDENTE GETULIO,SC,89150000,47,33521113,47,35313131,ATIVA,0,GRANDE,1500000000,13,2222
SEW-EURODRIVE BRASIL LTDA, 50.981.018/0009-47,SEW-EURODRIVE,03/06/2002,2815102,Fabricação de equipamentos de transmissão para fins industriais| exceto rolamentos,2062,Sociedade Empresária Limitada ,RUA,DONA,FRANCISCA,12346,BL C PIRABEIRABA,R DONA FRANCISCA 12346 BL C PIRABEIRABA,PIRABEIRABA (PIRABEIRABA),JOINVILLE,SC,89239270,47,34250429,47,30279999,ATIVA,0,GRANDE,550000000,6,242
ESMERALDA INDUSTRIA DE ALIMENTOS LTDA, 30.581.287/0001-51,,29/05/2018,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,RUA,,WILHELM WINTER,350,SETOR B SALA 2,RUA WILHELM WINTER 350 SETOR B                   SALA  2,DISTRITO INDUSTRIAL,JUNDIAI,SP,13213000,11,56839515,11,48158061,ATIVA,1,MÉDIA,8900000,5,1
COF SUPERMERCADOS LTDA, 27.883.819/0001-09,SUPER BIG,02/06/2017,4711302,Comércio varejista de mercadorias em geral| com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,QUADRA,,107 NORTE AVENIDA JUSCELINO KUBITSCHEK,,ED SHOPP. CAPIM DOURADOSALA POWER CENTER 1,QUADRA 107 NORTE AVENIDA JUSCELINO KUBITSCHEK SN ED SHOPP. CAPIM DOURADOSALA POWER CENTER 1,PLANO DIRETOR NORTE,PALMAS,TO,77001080,63,21041300,63,32151289,ATIVA,1,PEQUENA,17230000,3,193
FIAMMA INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI, 16.920.268/0001-81,,29/08/2012,1013901,Fabricação de produtos de carne,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),ESTRADA,,UNIAO INDUSTRIA SN,,KM 133,EST UNIAO INDUSTRIA SN KM 133,CENTRO,COMENDADOR LEVY GASPARIAN,RJ,25870000,21,967421586,21,971738316,ATIVA,1,MÉDIA,8900000,1,503
SUL-CORTE IMPORTADORA DE FERRAMENTAS LTDA, 00.205.734/0001-07,SUL CORTE,21/09/1994,2543800,Fabricação de ferramentas,2062,Sociedade Empresária Limitada ,AVENIDA,DOUTOR,LUIZ MEZZALIRA FILHO,32843,KM 80,AVENIDA RSC 453 32843 KM 80,NOSSA SENHORA DA SAUDE,CAXIAS DO SUL,RS,95044090,54,999863710,31,971506453,ATIVA,1,GRANDE,41500000,3,191
LORENPET NORDESTE INDUSTRIA E COMERCIO DE PLASTICOS LTDA  , 05.006.462/0001-30,FROMPET,25/03/2002,3832700,Recuperação de materiais plásticos,2062,Sociedade Empresária Limitada ,RODOVIA,,PE-60,,KM 11 - ZI-3A - SUAPE,ROD PE-60 SN KM 11 - ZI-3A - SUAPE,ZONA INDUSTRIAL,IPOJUCA,PE,55590000,81,999714494,81,999690028,ATIVA,1,MÉDIA,172000000,4,209
PEDREIRA LAJINHA LTDA, 01.480.158/0001-79,,17/09/1996,810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,2062,Sociedade Empresária Limitada ,ESTRADA,,SAO FRANCISCO,,KM 5 CX POSTAL 61,EST SAO FRANCISCO KM 5 CX POSTAL 61,,AFONSO CLAUDIO,ES,29600000,27,37353227,27,37351215,ATIVA,1,MÉDIA,2150000,3,56
FUNDIMET INDUSTRIA E COMERCIO LTDA, 02.312.019/0001-07,FUNDIMET,09/01/1998,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,RUA,,RODOVIA SC,452,2345,R RODOVIA SC 452 2345,CENTRO,LUZERNA,SC,89609000,49,35231400,49,35231644,ATIVA,1,MÉDIA,4250000,4,32
CONSIGAZ-DISTRIBUIDORA DE GAS LTDA, 01.597.589/0002-09,,01/02/2001,4682600,Comércio atacadista de gás liquefeito de petróleo (GLP),2062,Sociedade Empresária Limitada ,RUA,,JOSE PEREIRA SOBRINHO,485,R JOSE PEREIRA SOBRINHO,R JOSE PEREIRA SOBRINHO 485 R JOSE PEREIRA SOBRINHO,JARDIM MUTINGA,BARUERI,SP,6463283,11,963989942,11,975727994,ATIVA,1,GRANDE,120000000,4,1008
TECELAGEM LM LTDA, 82.130.956/0001-72,,01/08/1990,1321900,Tecelagem de fios de algodão,2062,Sociedade Empresária Limitada ,RUA,,ERNESTO BIANCHINI,799,FDS,R ERNESTO BIANCHINI 799 FDS,RIO BRANCO,BRUSQUE,SC,88350701,47,33968693,47,33505684,ATIVA,1,MÉDIA,17230000,2,102
BLUAMERICA INDUSTRIA E COMERCIO DE COUROS LTDA, 15.174.730/0001-86,BLUAMERICA COUROS,09/03/2012,1510600,Curtimento e outras preparações de couro,2062,Sociedade Empresária Limitada ,RODOVIA,,BR 364,,KM 20 LT 7 8 16 16 A 1 17 A,ROD BR 364 KM 20 LT 7 8 16 16 A 1 17 A,GL PYRINEOS,PRESIDENTE MEDICI,RO,76916000,43,32563549,69,999669301,ATIVA,1,MÉDIA,8900000,5,381
CONDOMINIO BREEZES BUZIOS RESORT, 11.461.279/0001-27,BREEZES BUZIOS RESORT,19/12/2006,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,TUCUNS,,RES S JOSE LT1 Q H LOTEAMENTO,AV TUCUNS RES S JOSE LT1 Q H LOTEAMENTO,TUCUNS,ARMACAO DOS BUZIOS,RJ,28950000,22,26336910,21,25442073,ATIVA,1,PEQUENA,2150000,,841
INDUSTRIA E COMERCIO MARAGOGI EIRELI, 06.039.172/0001-55,EVEREST,16/10/2003,1741902,Fabricação de produtos de papel| cartolina| papel-cartão e papelão ondulado para uso comercial e de ,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,ANTONIO VIEIRA DA ROCHA,100,,R ANTONIO VIEIRA DA ROCHA 100,BODOCONGO,CAMPINA GRANDE,PB,58430460,83,30634246,81,34717873,ATIVA,1,PEQUENA,4250000,1,1
BENEFICENCIA SOCIAL BOM SAMARITANO, 22.709.109/0001-35,,01/10/1987,8690999,Outras atividades de atenção à saúde humana não especificadas anteriormente,3999,Associação Privada,RUA,,RANULFO ALVARES,1620,,R RANULFO ALVARES 1620,VILA ISA,GOVERNADOR VALADARES,MG,35044220,33,999033274,33,999860656,ATIVA,1,,0,1,83
FANTE INDUSTRIA DE BEBIDAS LTDA, 89.967.939/0001-33,,29/04/1973,1111902,Fabricação de outras aguardentes e bebidas destiladas,2062,Sociedade Empresária Limitada ,RODOVIA,,RS 122 SN,,KM 96,ROD RS 122 SN KM 96,SEDE,FLORES DA CUNHA,RS,95270000,54,996592639,54,999678479,ATIVA,1,GRANDE,172000000,7,296
MADSON ELETROMETALURGICA LTDA, 20.520.367/0001-43,,27/09/1978,2751100,Fabricação de fogões| refrigeradores e máquinas de lavar e secar para uso doméstico| peças e acessór,2062,Sociedade Empresária Limitada ,RUA,,JERONIMO MARCUCCI,97,,R JERONIMO MARCUCCI 97,PILAR,BELO HORIZONTE,MG,30390150,31,21255229,31,21255228,ATIVA,1,GRANDE,236000000,2,1578
SORVETES BEGUETTO LTDA, 44.248.862/0001-03,SORVETES BEGUETTO,22/07/1980,1053800,Fabricação de sorvetes e outros gelados comestíveis,2062,Sociedade Empresária Limitada ,RUA,,GASTAO VIDIGAL,173,FDS,R GASTAO VIDIGAL 173 FDS,ESTACAO,SANTA CRUZ DO RIO PARDO,SP,18900000,14,998523958,14,997949150,ATIVA,1,PEQUENA,8900000,3,159
INDUSTRIA E COMERCIO LATICINIOS UNIAO LTDA, 12.919.808/0001-56,,23/11/2010,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,RODOVIA,,PR,281,SN ZONA RURAL,ROD PR 281 SN ZONA RURAL,LINHA STA RITA,SALTO DO LONTRA,PR,85670000,46,35381314,46,35382594,ATIVA,1,MÉDIA,12125000,2,136
TOTALMIX INDUSTRIA E COMERCIO LTDA, 11.131.609/0001-16,TOTALMIX,10/09/2009,1099602,Fabricação de pós-alimentícios,2062,Sociedade Empresária Limitada ,RUA,,FELIPE CAMARAO,481,LT 186 C PARTE A,R FELIPE CAMARAO 481 LT 186 C PARTE A,CENTRO,NOVA ESPERANCA,PR,87600000,44,991383668,44,984556523,ATIVA,1,MÉDIA,30000000,3,73
KYB MANUFACTURING DO BRASIL FABRICANTE DE AUTOPECAS S.A, 04.005.572/0001-14,KYB DO BRASIL,18/08/2000,2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,2054,Sociedade Anônima Fechada ,AVENIDA,,FRANCISCO FERREIRA DA CRUZ,3000,3000 FAZ IGUACU FAZ,AV FRANCISCO FERREIRA DA CRUZ 3000 3000 FAZ IGUACU FAZ,EUCALIPTOS,FAZENDA RIO GRANDE,PR,83820293,41,991883083,41,992331751,ATIVA,1,GRANDE,120000000,4,665
CEI - CENTRO EDUCACIONAL INTEGRADO LTDA, 79.264.628/0001-54,INTEGRADO COLEGIO E FACULDADE CAMPO MOURAO/PR,14/11/1986,8532500,Educação superior - graduação e pós-graduação,2062,Sociedade Empresária Limitada ,AVENIDA,,IRMAOS PEREIRA,670,SL 1,AV IRMAOS PEREIRA 670 SL 1,CENTRO,CAMPO MOURAO,PR,87301010,44,35182500,43,991471496,ATIVA,1,GRANDE,56700000,3,474
AGUAS DE NOVA FRIBURGO LTDA., 03.119.806/0001-91,,28/04/1999,3600601,Captação| tratamento e distribuição de água,2062,Sociedade Empresária Limitada ,AVENIDA,,JULIO ANTONIO THURLER,417,,AV JULIO ANTONIO THURLER 417,OLARIA,NOVA FRIBURGO,RJ,28620000,22,998146566,22,997705716,ATIVA,1,GRANDE,90000000,4,557
RFR COMERCIO E RECICLAGEM DE RESIDUOS LTDA., 07.100.026/0001-50,RFR RECICLAGEM,10/11/2004,4687703,Comércio atacadista de resíduos e sucatas metálicos,2062,Sociedade Empresária Limitada ,RUA,,JOSE MARQUES PRATA,105,,R JOSE MARQUES PRATA 105,VARZEA DO PALACIO,GUARULHOS,SP,7034090,11,976480200,11,997799186,ATIVA,1,GRANDE,440000000,14,478
MINERACAO ITAPEVA LTDA, 45.851.169/0001-93,MINERACAO ITAPEVA,26/06/1975,899199,Extração de outros minerais não metálicos não especificados anteriormente,2062,Sociedade Empresária Limitada ,PRACA,,DO CORREIO,49,KM 5,PC DO CORREIO 49 KM 5,CENTRO,ITAPEVA,SP,18400970,15,996982315,15,998272822,ATIVA,1,MÉDIA,17230000,7,109
IRPAO FABRICACAO E COMERCIO DE MASSAS ALIMENTICIAS LTDA, 96.259.643/0001-23,,16/02/1993,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,RUA,,ANTONIO MOISES SAADI,770,,RUA ANTONIO MOISES SAADI 770,PARQUE INDUSTRIAL LAGOINHA,RIBEIRAO PRETO,SP,14095230,16,996448473,16,996457094,ATIVA,1,MÉDIA,72000000,3,302
COPELMI MINERACAO LTDA, 33.059.528/0001-95,,08/08/1966,500301,Extração de carvão mineral,2062,Sociedade Empresária Limitada ,LARGO,VISCONDE,DO CAIRU,12,S AND 3 301,LRG VSC DO CAIRU 12 S AND 3 301,CENTRO HISTORICO,PORTO ALEGRE,RS,90030110,51,980272995,51,996774275,ATIVA,1,MÉDIA,236000000,3,23
DAIRY PARTNERS AMERICAS NORDESTE - PRODUTOS ALIMENTICIOS LTDA., 10.331.731/0001-73,DPA NORDESTE,11/09/2008,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,BOM PASTOR,,SL 1 2 PARTE,AV BOM PASTOR SN SL 1 2 PARTE,BOA VISTA,GARANHUNS,PE,55292270,71,33139666,87,37628105,ATIVA,1,MÉDIA,6250000,12,358
FARMARIN INDUSTRIA E COMERCIO LTDA, 58.635.830/0001-75,,25/02/1988,2121101,Fabricação de medicamentos alopáticos para uso humano,2062,Sociedade Empresária Limitada ,RUA,,PEDRO DE TOLEDO,600,600,R PEDRO DE TOLEDO 600 600,JARDIM SANTA LIDIA,GUARULHOS,SP,7140000,11,932321726,11,989475065,ATIVA,1,GRANDE,172000000,4,486
PORTO SHOP S/A, 05.047.690/0001-58,PORTO SHOP,29/04/2002,6821802,Corretagem no aluguel de imóveis,2054,Sociedade Anônima Fechada ,AVENIDA,,CANDIDO DE ABREU,660,AND 23 CJTO 2301,AV CANDIDO DE ABREU 660 AND 23 CJTO 2301,CENTRO CIVICO,CURITIBA,PR,80530000,51,30217000,41,33522644,ATIVA,1,GRANDE,30000000,6,5
CONDOMINIO LOG LONDRINA, 28.039.103/0001-84,LOG LONDRINA,20/04/2017,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,TIRADENTES,7100,,AV TIRADENTES 7100,JARDIM ROSICLER,LONDRINA,PR,86072000,43,996167756,43,996251647,ATIVA,1,PEQUENA,1350000,,2
FAULIN TELHAS LTDA, 07.218.893/0001-95,,17/02/2005,2342702,Fabricação de artefatos de cerâmica e barro cozido para uso na construção| exceto azulejos e pisos,2062,Sociedade Empresária Limitada ,BAIRRO ,,SAO JOAO,,ZONA RURAL,BAIRRO SAO JOAO SN ZONA RURAL,SAO JOAO,LARANJAL PAULISTA,SP,18500000,15,998362444,15,996143522,ATIVA,1,MÉDIA,2150000,2,314
BOXFLEX COMPONENTES PARA CALCADOS LTDA, 92.088.509/0001-56,BOXFLEX,07/04/1988,1340501,Estamparia e texturização em fios| tecidos| artefatos têxteis e peças do vestuário,2062,Sociedade Empresária Limitada ,AVENIDA,,CARLOS STRASSBURGER F,5326,,AV CARLOS STRASSBURGER F 5326,ZONA INDUSTRIAL,CAMPO BOM,RS,93700000,51,35988218,51,35982578,ATIVA,1,GRANDE,56700000,6,375
